		1	1	1	1	1	1	1	1	0	0	0	0
35	音叉物位开关	FTL51-KGR2BB2G5A(160mm)	E+H	FTL5X-K	隔爆	螺纹G1	316L	160mm	SIL3线PNP;10~55VDC	IP66/68/IP66/67铝;M20电缆密封套(Eexd防爆选项,M20螺纹接口,不带防爆密封套)	-50~150℃	148~6000mm;316L;Ra<3.2um/126uin	ATEX II 1/2G Ex d IIC T6/IECEx zone0/1
37	音叉物位开关	FTL51-NGM2BB2G5A(160mm)	E+H	FTL5X-N	隔爆	螺纹NPT3/4	316L	160mm	SIL3线PNP;10~55VDC	IP66/68/IP66/67铝;M20电缆密封套(Eexd防爆选项,M20螺纹接口,不带防爆密封套)	-50~150℃	148~6000mm;316L;Ra<3.2um/126uin	NEPSI Ex d IIC T3-T6 Ga/Gb
39	音叉物位开关	FTL51-NGN2BB2G5A(160mm)	E+H	FTL5X-N	隔爆	螺纹NPT1	316L	160mm	SIL3线PNP;10~55VDC	IP66/68/IP66/67铝;M20电缆密封套(Eexd防爆选项,M20螺纹接口,不带防爆密封套)	-50~150℃	148~6000mm;316L;Ra<3.2um/126uin	NEPSI Ex d IIC T3-T6 Ga/Gb
41	音叉物位开关	FTL51-NGQ2BB2G5A(160mm)	E+H	FTL5X-N	隔爆	螺纹G3/4	316L	160mm	SIL3线PNP;10~55VDC	IP66/68/IP66/67铝;M20电缆密封套(Eexd防爆选项,M20螺纹接口,不带防爆密封套)	-50~150℃	148~6000mm;316L;Ra<3.2um/126uin	NEPSI Ex d IIC T3-T6 Ga/Gb
43	音叉物位开关	FTL51-NGR2BB2G5A(160mm)	E+H	FTL5X-N	隔爆	螺纹G1	316L	160mm	SIL3线PNP;10~55VDC	IP66/68/IP66/67铝;M20电缆密封套(Eexd防爆选项,M20螺纹接口,不带防爆密封套)	-50~150℃	148~6000mm;316L;Ra<3.2um/126uin	NEPSI Ex d IIC T3-T6 Ga/Gb
45	音叉物位开关	FTL71-AGN2BB2G5AL(148mm)	E+H	FTL7X-A	非防爆	螺纹NPT1	316L	148mm	SIL3线PNP;10~55VDC	IP66/67铝;M20电缆密封套	230℃,气密馈通	148~6000mm;316L;Ra<3.2um/126uin	
46	音叉物位开关	FTL71-AGN2BB2G5AN(148mm)	E+H	FTL7X-A	非防爆	螺纹NPT1	316L	148mm	SIL3线PNP;10~55VDC	IP66/67铝;M20电缆密封套	280℃,气密馈通	148~6000mm;316L;Ra<3.2um/126uin	
49	音叉物位开关	FTL71-AGM2BB2G5AL(148mm)	E+H	FTL7X-A	非防爆	螺纹NPT3/4	316L	148mm	SIL3线PNP;10~55VDC	IP66/67铝;M20电缆密封套	230℃,气密馈通	148~6000mm;316L;Ra<3.2um/126uin	
50	音叉物位开关	FTL71-AGM2BB2G5AN(148mm)	E+H	FTL7X-A	非防爆	螺纹NPT3/4	316L	148mm	SIL3线PNP;10~55VDC	IP66/67铝;M20电缆密封套	280℃,气密馈通	148~6000mm;316L;Ra<3.2um/126uin	
53	音叉物位开关	FTL71-AGR2BB2G5AL(148mm)	E+H	FTL7X-A	非防爆	螺纹G1	316L	148mm	SIL3线PNP;10~55VDC	IP66/67铝;M20电缆密封套	230℃,气密馈通	148~6000mm;316L;Ra<3.2um/126uin	
54	音叉物位开关	FTL71-AGR2BB2G5AN(148mm)	E+H	FTL7X-A	非防爆	螺纹G1	316L	148mm	SIL3线PNP;10~55VDC	IP66/67铝;M20电缆密封套	280℃,气密馈通	148~6000mm;316L;Ra<3.2um/126uin	
57	音叉物位开关	FTL71-AGQ2BB2G5AL(148mm)	E+H	FTL7X-A	非防爆	螺纹G3/4	316L	148mm	SIL3线PNP;10~55VDC	IP66/67铝;M20电缆密封套	230℃,气密馈通	148~6000mm;316L;Ra<3.2um/126uin	
58	音叉物位开关	FTL71-AGQ2BB2G5AN(148mm)	E+H	FTL7X-A	非防爆	螺纹G3/4	316L	148mm	SIL3线PNP;10~55VDC	IP66/67铝;M20电缆密封套	280℃,气密馈通	148~6000mm;316L;Ra<3.2um/126uin	
61	音叉物位开关	FTL70-AGN2AB2G5AL	E+H	FTL7X-A	非防爆	螺纹NPT1	318L	69mm	SIL3线PNP;10~55VDC	IP66/67铝;M20电缆密封套	230℃,气密馈通	一体化;Ra<3.2um/126uin,316;叉体:318L	
62	音叉物位开关	FTL70-AGN2AB2G5AN	E+H	FTL7X-A	非防爆	螺纹NPT1	318L	69mm	SIL3线PNP;10~55VDC	IP66/67铝;M20电缆密封套	280℃,气密馈通	一体化;Ra<3.2um/126uin,316;叉体:318L	
65	音叉物位开关	FTL70-AGM2AB2G5AL	E+H	FTL7X-A	非防爆	螺纹NPT3/4	318L	66.5mm	SIL3线PNP;10~55VDC	IP66/67铝;M20电缆密封套	230℃,气密馈通	一体化;Ra<3.2um/126uin,316;叉体:318L	
66	音叉物位开关	FTL70-AGM2AB2G5AN	E+H	FTL7X-A	非防爆	螺纹NPT3/4	318L	66.5mm	SIL3线PNP;10~55VDC	IP66/67铝;M20电缆密封套	280℃,气密馈通	一体化;Ra<3.2um/126uin,316;叉体:318L	
69	音叉物位开关	FTL70-AGR2AB2G5AL	E+H	FTL7X-A	非防爆	螺纹G1	318L	69mm	SIL3线PNP;10~55VDC	IP66/67铝;M20电缆密封套	230℃,气密馈通	一体化;Ra<3.2um/126uin,316;叉体:318L	
70	音叉物位开关	FTL70-AGR2AB2G5AN	E+H	FTL7X-A	非防爆	螺纹G1	318L	69mm	SIL3线PNP;10~55VDC	IP66/67铝;M20电缆密封套	280℃,气密馈通	一体化;Ra<3.2um/126uin,316;叉体:318L	
73	音叉物位开关	FTL70-AGQ2AB2G5AL	E+H	FTL7X-A	非防爆	螺纹G3/4	318L	66.5mm	SIL3线PNP;10~55VDC	IP66/67铝;M20电缆密封套	230℃,气密馈通	一体化;Ra<3.2um/126uin,316;叉体:318L	
74	音叉物位开关	FTL70-AGQ2AB2G5AN	E+H	FTL7X-A	非防爆	螺纹G3/4	318L	66.5mm	SIL3线PNP;10~55VDC	IP66/67铝;M20电缆密封套	280℃,气密馈通	一体化;Ra<3.2um/126uin,316;叉体:318L	
22	音叉物位开关	FTL51-AGM2BB4G5A(160mm)	E+H	FTL5X-A	非防爆	螺纹NPT3/4	316L	160mm	SIL继电器DPDT;19~253VAC/19~55VDC	IP66/68/IP66/67铝;M20电缆密封套(Eexd防爆选项,M20螺纹接口,不带防爆密封套)	-50~150℃	148~6000mm;316L;Ra<3.2um/126uin	
24	音叉物位开关	FTL51-AGN2BB4G5A(160mm)	E+H	FTL5X-A	非防爆	螺纹NPT1	316L	160mm	SIL继电器DPDT;19~253VAC/19~55VDC	IP66/68/IP66/67铝;M20电缆密封套(Eexd防爆选项,M20螺纹接口,不带防爆密封套)	-50~150℃	148~6000mm;316L;Ra<3.2um/126uin	
26	音叉物位开关	FTL51-AGQ2BB4G5A(160mm)	E+H	FTL5X-A	非防爆	螺纹G3/4	316L	160mm	SIL继电器DPDT;19~253VAC/19~55VDC	IP66/68/IP66/67铝;M20电缆密封套(Eexd防爆选项,M20螺纹接口,不带防爆密封套)	-50~150℃	148~6000mm;316L;Ra<3.2um/126uin	
28	音叉物位开关	FTL51-AGR2BB4G5A(160mm)	E+H	FTL5X-A	非防爆	螺纹G1	316L	160mm	SIL继电器DPDT;19~253VAC/19~55VDC	IP66/68/IP66/67铝;M20电缆密封套(Eexd防爆选项,M20螺纹接口,不带防爆密封套)	-50~150℃	148~6000mm;316L;Ra<3.2um/126uin	
30	音叉物位开关	FTL51-KGM2BB4G5A(160mm)	E+H	FTL5X-K	隔爆	螺纹NPT3/4	316L	160mm	SIL继电器DPDT;19~253VAC/19~55VDC	IP66/68/IP66/67铝;M20电缆密封套(Eexd防爆选项,M20螺纹接口,不带防爆密封套)	-50~150℃	148~6000mm;316L;Ra<3.2um/126uin	ATEX II 1/2G Ex d IIC T6/IECEx zone0/1
32	音叉物位开关	FTL51-KGN2BB4G5A(160mm)	E+H	FTL5X-K	隔爆	螺纹NPT1	316L	160mm	SIL继电器DPDT;19~253VAC/19~55VDC	IP66/68/IP66/67铝;M20电缆密封套(Eexd防爆选项,M20螺纹接口,不带防爆密封套)	-50~150℃	148~6000mm;316L;Ra<3.2um/126uin	ATEX II 1/2G Ex d IIC T6/IECEx zone0/1
34	音叉物位开关	FTL51-KGQ2BB4G5A(160mm)	E+H	FTL5X-K	隔爆	螺纹G3/4	316L	160mm	SIL继电器DPDT;19~253VAC/19~55VDC	IP66/68/IP66/67铝;M20电缆密封套(Eexd防爆选项,M20螺纹接口,不带防爆密封套)	-50~150℃	148~6000mm;316L;Ra<3.2um/126uin	ATEX II 1/2G Ex d IIC T6/IECEx zone0/1
36	音叉物位开关	FTL51-KGR2BB4G5A(160mm)	E+H	FTL5X-K	隔爆	螺纹G1	316L	160mm	SIL继电器DPDT;19~253VAC/19~55VDC	IP66/68/IP66/67铝;M20电缆密封套(Eexd防爆选项,M20螺纹接口,不带防爆密封套)	-50~150℃	148~6000mm;316L;Ra<3.2um/126uin	ATEX II 1/2G Ex d IIC T6/IECEx zone0/1
38	音叉物位开关	FTL51-NGM2BB4G5A(160mm)	E+H	FTL5X-N	隔爆	螺纹NPT3/4	316L	160mm	SIL继电器DPDT;19~253VAC/19~55VDC	IP66/68/IP66/67铝;M20电缆密封套(Eexd防爆选项,M20螺纹接口,不带防爆密封套)	-50~150℃	148~6000mm;316L;Ra<3.2um/126uin	NEPSI Ex d IIC T3-T6 Ga/Gb
40	音叉物位开关	FTL51-NGN2BB4G5A(160mm)	E+H	FTL5X-N	隔爆	螺纹NPT1	316L	160mm	SIL继电器DPDT;19~253VAC/19~55VDC	IP66/68/IP66/67铝;M20电缆密封套(Eexd防爆选项,M20螺纹接口,不带防爆密封套)	-50~150℃	148~6000mm;316L;Ra<3.2um/126uin	NEPSI Ex d IIC T3-T6 Ga/Gb
42	音叉物位开关	FTL51-NGQ2BB4G5A(160mm)	E+H	FTL5X-N	隔爆	螺纹G3/4	316L	160mm	SIL继电器DPDT;19~253VAC/19~55VDC	IP66/68/IP66/67铝;M20电缆密封套(Eexd防爆选项,M20螺纹接口,不带防爆密封套)	-50~150℃	148~6000mm;316L;Ra<3.2um/126uin	NEPSI Ex d IIC T3-T6 Ga/Gb
44	音叉物位开关	FTL51-NGR2BB4G5A(160mm)	E+H	FTL5X-N	隔爆	螺纹G1	316L	160mm	SIL继电器DPDT;19~253VAC/19~55VDC	IP66/68/IP66/67铝;M20电缆密封套(Eexd防爆选项,M20螺纹接口,不带防爆密封套)	-50~150℃	148~6000mm;316L;Ra<3.2um/126uin	NEPSI Ex d IIC T3-T6 Ga/Gb
47	音叉物位开关	FTL71-AGN2BB4G5AL(148mm)	E+H	FTL7X-A	非防爆	螺纹NPT1	316L	148mm	SIL继电器DPDT;19~253VAC/19~55VDC	IP66/67铝;M20电缆密封套	230℃,气密馈通	148~6000mm;316L;Ra<3.2um/126uin	
48	音叉物位开关	FTL71-AGN2BB4G5AN(148mm)	E+H	FTL7X-A	非防爆	螺纹NPT1	316L	148mm	SIL继电器DPDT;19~253VAC/19~55VDC	IP66/67铝;M20电缆密封套	280℃,气密馈通	148~6000mm;316L;Ra<3.2um/126uin	
51	音叉物位开关	FTL71-AGM2BB4G5AL(148mm)	E+H	FTL7X-A	非防爆	螺纹NPT3/4	316L	148mm	SIL继电器DPDT;19~253VAC/19~55VDC	IP66/67铝;M20电缆密封套	230℃,气密馈通	148~6000mm;316L;Ra<3.2um/126uin	
52	音叉物位开关	FTL71-AGM2BB4G5AN(148mm)	E+H	FTL7X-A	非防爆	螺纹NPT3/4	316L	148mm	SIL继电器DPDT;19~253VAC/19~55VDC	IP66/67铝;M20电缆密封套	280℃,气密馈通	148~6000mm;316L;Ra<3.2um/126uin	
55	音叉物位开关	FTL71-AGR2BB4G5AL(148mm)	E+H	FTL7X-A	非防爆	螺纹G1	316L	148mm	SIL继电器DPDT;19~253VAC/19~55VDC	IP66/67铝;M20电缆密封套	230℃,气密馈通	148~6000mm;316L;Ra<3.2um/126uin	
56	音叉物位开关	FTL71-AGR2BB4G5AN(148mm)	E+H	FTL7X-A	非防爆	螺纹G1	316L	148mm	SIL继电器DPDT;19~253VAC/19~55VDC	IP66/67铝;M20电缆密封套	280℃,气密馈通	148~6000mm;316L;Ra<3.2um/126uin	
59	音叉物位开关	FTL71-AGQ2BB4G5AL(148mm)	E+H	FTL7X-A	非防爆	螺纹G3/4	316L	148mm	SIL继电器DPDT;19~253VAC/19~55VDC	IP66/67铝;M20电缆密封套	230℃,气密馈通	148~6000mm;316L;Ra<3.2um/126uin	
60	音叉物位开关	FTL71-AGQ2BB4G5AN(148mm)	E+H	FTL7X-A	非防爆	螺纹G3/4	316L	148mm	SIL继电器DPDT;19~253VAC/19~55VDC	IP66/67铝;M20电缆密封套	280℃,气密馈通	148~6000mm;316L;Ra<3.2um/126uin	
63	音叉物位开关	FTL70-AGN2AB4G5AL	E+H	FTL7X-A	非防爆	螺纹NPT1	318L	69mm	SIL继电器DPDT;19~253VAC/19~55VDC	IP66/67铝;M20电缆密封套	230℃,气密馈通	一体化;Ra<3.2um/126uin,316;叉体:318L	
64	音叉物位开关	FTL70-AGN2AB4G5AN	E+H	FTL7X-A	非防爆	螺纹NPT1	318L	69mm	SIL继电器DPDT;19~253VAC/19~55VDC	IP66/67铝;M20电缆密封套	280℃,气密馈通	一体化;Ra<3.2um/126uin,316;叉体:318L	
67	音叉物位开关	FTL70-AGM2AB4G5AL	E+H	FTL7X-A	非防爆	螺纹NPT3/4	318L	66.5mm	SIL继电器DPDT;19~253VAC/19~55VDC	IP66/67铝;M20电缆密封套	230℃,气密馈通	一体化;Ra<3.2um/126uin,316;叉体:318L	
68	音叉物位开关	FTL70-AGM2AB4G5AN	E+H	FTL7X-A	非防爆	螺纹NPT3/4	318L	66.5mm	SIL继电器DPDT;19~253VAC/19~55VDC	IP66/67铝;M20电缆密封套	280℃,气密馈通	一体化;Ra<3.2um/126uin,316;叉体:318L	
71	音叉物位开关	FTL70-AGR2AB4G5AL	E+H	FTL7X-A	非防爆	螺纹G1	318L	69mm	SIL继电器DPDT;19~253VAC/19~55VDC	IP66/67铝;M20电缆密封套	230℃,气密馈通	一体化;Ra<3.2um/126uin,316;叉体:318L	
72	音叉物位开关	FTL70-AGR2AB4G5AN	E+H	FTL7X-A	非防爆	螺纹G1	318L	69mm	SIL继电器DPDT;19~253VAC/19~55VDC	IP66/67铝;M20电缆密封套	280℃,气密馈通	一体化;Ra<3.2um/126uin,316;叉体:318L	
75	音叉物位开关	FTL70-AGQ2AB4G5AL	E+H	FTL7X-A	非防爆	螺纹G3/4	318L	66.5mm	SIL继电器DPDT;19~253VAC/19~55VDC	IP66/67铝;M20电缆密封套	230℃,气密馈通	一体化;Ra<3.2um/126uin,316;叉体:318L	
76	音叉物位开关	FTL70-AGQ2AB4G5AN	E+H	FTL7X-A	非防爆	螺纹G3/4	318L	66.5mm	SIL继电器DPDT;19~253VAC/19~55VDC	IP66/67铝;M20电缆密封套	280℃,气密馈通	一体化;Ra<3.2um/126uin,316;叉体:318L	
87	音叉物位开关	2120D0BG1NAXM0160	艾默生	2120 NA	非防爆	螺纹G3/4	316L	185mm	3线PNP/PLC;20~60VDC	铝合金,M20导管/缆线螺纹	–40~150°C	316/316L不锈钢(1.4401/1.4404)双认证	
88	音叉物位开关	2120D1BG1NAXM0160	艾默生	2120 NA	非防爆	螺纹G1	316L	185mm	3线PNP/PLC;20~60VDC	铝合金,M20导管/缆线螺纹	–40~150°C	316/316L不锈钢(1.4401/1.4404)双认证	
89	音叉物位开关	2120D0DG1NAXM0160	艾默生	2120 NA	非防爆	螺纹NPT3/4	316L	185mm	3线PNP/PLC;20~60VDC	铝合金,M20导管/缆线螺纹	–40~150°C	316/316L不锈钢(1.4401/1.4404)双认证	
90	音叉物位开关	2120D1DG1NAXM0160	艾默生	2120 NA	非防爆	螺纹NPT1	316L	185mm	3线PNP/PLC;20~60VDC	铝合金,M20导管/缆线螺纹	–40~150°C	316/316L不锈钢(1.4401/1.4404)双认证	
103	音叉物位开关	2120D0BG1E1XM0160	艾默生	2120 E1	隔爆	螺纹G3/4	316L	185mm	3线PNP/PLC;20~60VDC	铝合金,M20导管/缆线螺纹	–40~150°C	316/316L不锈钢(1.4401/1.4404)双认证	ATEX防火(ATEX II 1/2G Ex d IIC T6 Ga/Gb)
104	音叉物位开关	2120D1BG1E1XM0160	艾默生	2120 E1	隔爆	螺纹G1	316L	185mm	3线PNP/PLC;20~60VDC	铝合金,M20导管/缆线螺纹	–40~150°C	316/316L不锈钢(1.4401/1.4404)双认证	ATEX防火(ATEX II 1/2G Ex d IIC T6 Ga/Gb)
105	音叉物位开关	2120D0DG1E1XM0160	艾默生	2120 E1	隔爆	螺纹NPT3/4	316L	185mm	3线PNP/PLC;20~60VDC	铝合金,M20导管/缆线螺纹	–40~150°C	316/316L不锈钢(1.4401/1.4404)双认证	ATEX防火(ATEX II 1/2G Ex d IIC T6 Ga/Gb)
106	音叉物位开关	2120D1DG1E1XM0160	艾默生	2120 E1	隔爆	螺纹NPT1	316L	185mm	3线PNP/PLC;20~60VDC	铝合金,M20导管/缆线螺纹	–40~150°C	316/316L不锈钢(1.4401/1.4404)双认证	ATEX防火(ATEX II 1/2G Ex d IIC T6 Ga/Gb)
119	音叉物位开关	2130PA2MS9NNGM01601NA	艾默生	2130 NA	非防爆	螺纹G3/4	316L	185mm	3线PNP/PLC;20~60VDC;自检	铝,M20*1.5	中等-40~180℃	316/316L不锈钢(1.4401/1.4404)	
120	音叉物位开关	2130PA2MS1NNGM01601NA	艾默生	2130 NA	非防爆	螺纹G1	316L	185mm	3线PNP/PLC;20~60VDC;自检	铝,M20*1.5	中等-40~180℃	316/316L不锈钢(1.4401/1.4404)	
121	音叉物位开关	2130PA2MS9NNNM01601NA	艾默生	2130 NA	非防爆	螺纹NPT3/4	316L	185mm	3线PNP/PLC;20~60VDC;自检	铝,M20*1.5	中等-40~180℃	316/316L不锈钢(1.4401/1.4404)	
122	音叉物位开关	2130PA2MS1NNNM01601NA	艾默生	2130 NA	非防爆	螺纹NPT1	316L	185mm	3线PNP/PLC;20~60VDC;自检	铝,M20*1.5	中等-40~180℃	316/316L不锈钢(1.4401/1.4404)	
135	音叉物位开关	2130PA2ES9NNGM01601NA	艾默生	2130 NA	非防爆	螺纹G3/4	316L	185mm	3线PNP/PLC;20~60VDC;自检	铝,M20*1.5	极端-70~260℃	316/316L不锈钢(1.4401/1.4404)	
136	音叉物位开关	2130PA2ES1NNGM01601NA	艾默生	2130 NA	非防爆	螺纹G1	316L	185mm	3线PNP/PLC;20~60VDC;自检	铝,M20*1.5	极端-70~260℃	316/316L不锈钢(1.4401/1.4404)	
137	音叉物位开关	2130PA2ES9NNNM01601NA	艾默生	2130 NA	非防爆	螺纹NPT3/4	316L	185mm	3线PNP/PLC;20~60VDC;自检	铝,M20*1.5	极端-70~260℃	316/316L不锈钢(1.4401/1.4404)	
138	音叉物位开关	2130PA2ES1NNNM01601NA	艾默生	2130 NA	非防爆	螺纹NPT1	316L	185mm	3线PNP/PLC;20~60VDC;自检	铝,M20*1.5	极端-70~260℃	316/316L不锈钢(1.4401/1.4404)	
123	音叉物位开关	2130DA2MS9NNGM01601NA	艾默生	2130 NA	非防爆	螺纹G3/4	316L	185mm	双继电器,20~264VAC,50/60Hz,20~60VDC,自检	铝,M20*1.5	中等-40~180℃	316/316L不锈钢(1.4401/1.4404)	
124	音叉物位开关	2130DA2MS1NNGM01601NA	艾默生	2130 NA	非防爆	螺纹G1	316L	185mm	双继电器,20~264VAC,50/60Hz,20~60VDC,自检	铝,M20*1.5	中等-40~180℃	316/316L不锈钢(1.4401/1.4404)	
125	音叉物位开关	2130DA2MS9NNNM01601NA	艾默生	2130 NA	非防爆	螺纹NPT3/4	316L	185mm	双继电器,20~264VAC,50/60Hz,20~60VDC,自检	铝,M20*1.5	中等-40~180℃	316/316L不锈钢(1.4401/1.4404)	
126	音叉物位开关	2130DA2MS1NNNM01601NA	艾默生	2130 NA	非防爆	螺纹NPT1	316L	185mm	双继电器,20~264VAC,50/60Hz,20~60VDC,自检	铝,M20*1.5	中等-40~180℃	316/316L不锈钢(1.4401/1.4404)	
139	音叉物位开关	2130DA2ES9NNGM01601NA	艾默生	2130 NA	非防爆	螺纹G3/4	316L	185mm	双继电器,20~264VAC,50/60Hz,20~60VDC,自检	铝,M20*1.5	极端-70~260℃	316/316L不锈钢(1.4401/1.4404)	
140	音叉物位开关	2130DA2ES1NNGM01601NA	艾默生	2130 NA	非防爆	螺纹G1	316L	185mm	双继电器,20~264VAC,50/60Hz,20~60VDC,自检	铝,M20*1.5	极端-70~260℃	316/316L不锈钢(1.4401/1.4404)	
141	音叉物位开关	2130DA2ES9NNNM01601NA	艾默生	2130 NA	非防爆	螺纹NPT3/4	316L	185mm	双继电器,20~264VAC,50/60Hz,20~60VDC,自检	铝,M20*1.5	极端-70~260℃	316/316L不锈钢(1.4401/1.4404)	
142	音叉物位开关	2130DA2ES1NNNM01601NA	艾默生	2130 NA	非防爆	螺纹NPT1	316L	185mm	双继电器,20~264VAC,50/60Hz,20~60VDC,自检	铝,M20*1.5	极端-70~260℃	316/316L不锈钢(1.4401/1.4404)	
91	音叉物位开关	2120D0BV1NAXM0160	艾默生	2120 NA	非防爆	螺纹G3/4	316L	185mm	双继电器;9~30VDC	铝合金,M20导管/缆线螺纹	–40~150°C	316/316L不锈钢(1.4401/1.4404)双认证	
92	音叉物位开关	2120D1BV1NAXM0160	艾默生	2120 NA	非防爆	螺纹G1	316L	185mm	双继电器;9~30VDC	铝合金,M20导管/缆线螺纹	–40~150°C	316/316L不锈钢(1.4401/1.4404)双认证	
93	音叉物位开关	2120D0DV1NAXM0160	艾默生	2120 NA	非防爆	螺纹NPT3/4	316L	185mm	双继电器;9~30VDC	铝合金,M20导管/缆线螺纹	–40~150°C	316/316L不锈钢(1.4401/1.4404)双认证	
94	音叉物位开关	2120D1DV1NAXM0160	艾默生	2120 NA	非防爆	螺纹NPT1	316L	185mm	双继电器;9~30VDC	铝合金,M20导管/缆线螺纹	–40~150°C	316/316L不锈钢(1.4401/1.4404)双认证	
107	音叉物位开关	2120D0BV1E1XM0160	艾默生	2120 E1	隔爆	螺纹G3/4	316L	185mm	双继电器;9~30VDC	铝合金,M20导管/缆线螺纹	–40~150°C	316/316L不锈钢(1.4401/1.4404)双认证	ATEX防火(ATEX II 1/2G Ex d IIC T6 Ga/Gb)
108	音叉物位开关	2120D1BV1E1XM0160	艾默生	2120 E1	隔爆	螺纹G1	316L	185mm	双继电器;9~30VDC	铝合金,M20导管/缆线螺纹	–40~150°C	316/316L不锈钢(1.4401/1.4404)双认证	ATEX防火(ATEX II 1/2G Ex d IIC T6 Ga/Gb)
109	音叉物位开关	2120D0DV1E1XM0160	艾默生	2120 E1	隔爆	螺纹NPT3/4	316L	185mm	双继电器;9~30VDC	铝合金,M20导管/缆线螺纹	–40~150°C	316/316L不锈钢(1.4401/1.4404)双认证	ATEX防火(ATEX II 1/2G Ex d IIC T6 Ga/Gb)
